,0,1,2,3,4,5,6
96,ackeral01,Alex Acker,2006-2009,0,a,https://www.basketball-reference.com/players/a/ackeral01.html,
97,blackal01,Alex Blackwell,1993,0,b,https://www.basketball-reference.com/players/b/blackal01.html,
98,bradlal02,Alex Bradley,1982,0,b,https://www.basketball-reference.com/players/b/bradlal02.html,
99,carusal01,Alex Caruso,2018,1,c,https://www.basketball-reference.com/players/c/carusal01.html,
100,englial01,Alex English,1977-1991,0,e,https://www.basketball-reference.com/players/e/englial01.html,
101,garcial01,Alex Garcia,2004-2005,0,g,https://www.basketball-reference.com/players/g/garcial01.html,
102,grozaal01,Alex Groza,1950-1951,0,g,https://www.basketball-reference.com/players/g/grozaal01.html,
103,hamilal01,Alex Hamilton,-,0,h,https://www.basketball-reference.com/players/h/hamilal01.html,
104,hannual01,Alex Hannum,1950-1957,0,h,https://www.basketball-reference.com/players/h/hannual01.html,
105,kirkal01,Alex Kirk,2015,0,k,https://www.basketball-reference.com/players/k/kirkal01.html,
106,lenal01,Alex Len,2014-2019,1,l,https://www.basketball-reference.com/players/l/lenal01.html,
107,oriakal01,Alex Oriakhi,-,0,o,https://www.basketball-reference.com/players/o/oriakal01.html,
108,poythal01,Alex Poythress,2017-2019,1,p,https://www.basketball-reference.com/players/p/poythal01.html,
109,scaleal01,Alex Scales,2006,0,s,https://www.basketball-reference.com/players/s/scaleal01.html,
110,stephal01,Alex Stepheson,2016,0,s,https://www.basketball-reference.com/players/s/stephal01.html,
111,stivral01,Alex Stivrins,1986-1993,0,s,https://www.basketball-reference.com/players/s/stivral01.html,
112,johnsal01,Alexander Johnson,2007-2008,0,j,https://www.basketball-reference.com/players/j/johnsal01.html,
113,volkoal01,Alexander Volkov,1990-1992,0,v,https://www.basketball-reference.com/players/v/volkoal01.html,
114,paranal01,Alexandre Paranhos,-,0,p,https://www.basketball-reference.com/players/p/paranal01.html,
115,shvedal01,Alexey Shved,2013-2015,0,s,https://www.basketball-reference.com/players/s/shvedal01.html,
116,ajincal01,Alexis Ajinca,2009-2017,1,a,https://www.basketball-reference.com/players/a/ajincal01.html,
117,mckinal01,Alfonzo McKinnie,2018-2019,1,m,https://www.basketball-reference.com/players/m/mckinal01.html,
118,mcguial01,Alfred McGuire,1952-1955,0,m,https://www.basketball-reference.com/players/m/mcguial01.html,
119,hugheri01,Alfredrick Hughes,1986,0,h,https://www.basketball-reference.com/players/h/hugheri01.html,
120,johnsal02,Alize Johnson,2019,1,j,https://www.basketball-reference.com/players/j/johnsal02.html,
121,bristal01,Allan Bristow,1974-1983,0,b,https://www.basketball-reference.com/players/b/bristal01.html,
122,houstal01,Allan Houston,1994-2005,0,h,https://www.basketball-reference.com/players/h/houstal01.html,
123,rayal01,Allan Ray,2007,0,r,https://www.basketball-reference.com/players/r/rayal01.html,
124,crabbal01,Allen Crabbe,2014-2019,1,c,https://www.basketball-reference.com/players/c/crabbal01.html,
125,iversal01,Allen Iverson,1997-2010,0,i,https://www.basketball-reference.com/players/i/iversal01.html,
126,leaveal01,Allen Leavell,1980-1989,0,l,https://www.basketball-reference.com/players/l/leaveal01.html,
127,murphal01,Allen Murphy,1976-1977,0,m,https://www.basketball-reference.com/players/m/murphal01.html,
128,mcguial02,Allie McGuire,1974,0,m,https://www.basketball-reference.com/players/m/mcguial02.html,
129,trieral01,Allonzo Trier,2019,1,t,https://www.basketball-reference.com/players/t/trieral01.html,
130,bradlal01,Alonzo Bradley,1978-1980,0,b,https://www.basketball-reference.com/players/b/bradlal01.html,
131,geeal01,Alonzo Gee,2010-2017,0,g,https://www.basketball-reference.com/players/g/geeal01.html,
132,mournal01,Alonzo Mourning,1993-2008,0,m,https://www.basketball-reference.com/players/m/mournal01.html,
133,kabaal01,Alpha Kaba,-,0,k,https://www.basketball-reference.com/players/k/kabaal01.html,
134,fordal01,Alphonso Ford,1994-1995,0,f,https://www.basketball-reference.com/players/f/fordal01.html,
135,fordal02,Alton Ford,2002-2004,0,f,https://www.basketball-reference.com/players/f/fordal02.html,
136,listeal01,Alton Lister,1982-1998,0,l,https://www.basketball-reference.com/players/l/listeal01.html,
137,adamsal01,Alvan Adams,1976-1988,0,a,https://www.basketball-reference.com/players/a/adamsal01.html,
138,heggsal01,Alvin Heggs,1996,0,h,https://www.basketball-reference.com/players/h/heggsal01.html,
139,jonesal01,Alvin Jones,2002,0,j,https://www.basketball-reference.com/players/j/jonesal01.html,
140,roberal01,Alvin Robertson,1985-1996,0,r,https://www.basketball-reference.com/players/r/roberal01.html,
141,scottal01,Alvin Scott,1978-1985,0,s,https://www.basketball-reference.com/players/s/scottal01.html,
142,simsal01,Alvin Sims,1999,0,s,https://www.basketball-reference.com/players/s/simsal01.html,
143,willial02,Alvin Williams,1998-2007,0,w,https://www.basketball-reference.com/players/w/willial02.html,
144,mccasam01,Amal McCaskill,1997-2004,0,m,https://www.basketball-reference.com/players/m/mccasam01.html,
145,stoudam01,Amar'e Stoudemire,2003-2016,0,s,https://www.basketball-reference.com/players/s/stoudam01.html,
146,mbayeam01,Amath M'Baye,-,0,m,https://www.basketball-reference.com/players/m/mbayeam01.html,
147,brimaam01,Amida Brimah,-,0,b,https://www.basketball-reference.com/players/b/brimaam01.html,
148,jeffeam01,Amile Jefferson,-,0,j,https://www.basketball-reference.com/players/j/jeffeam01.html,
149,johnsam01,Amir Johnson,2006-2019,1,j,https://www.basketball-reference.com/players/j/johnsam01.html,
150,varejan01,Anderson Varejao,2005-2017,0,v,https://www.basketball-reference.com/players/v/varejan01.html,
151,pattean01,Andrae Patterson,1999-2000,0,p,https://www.basketball-reference.com/players/p/pattean01.html,
